1053,Cugy,Pierre-Alain PELLEGRI,Centre
1054,Morrens,Pierre-Alain PELLEGRI,Centre
1055,Froideville,Pierre-Alain PELLEGRI,Centre
1062,Jorat-Menthue,Pierre-Alain PELLEGRI,Centre
1066,Epalinges,Pierre-Alain PELLEGRI,Centre
1082,Corcelles-le-Jorat,Pierre-Alain PELLEGRI,Centre
1088,Ropraz,Pierre-Alain PELLEGRI,Centre
1302,Vufflens-la-Ville,Pierre-Alain PELLEGRI,Centre
1303,Penthaz,Pierre-Alain PELLEGRI,Centre
1305,Penthalaz,Pierre-Alain PELLEGRI,Centre
1026,Echandens,Michel PASCHE,Morges et Vallée de Joux
1405,Pomy,Marc WERTH,Nord vaudois et Broye payernoise
1406,Cronay,Marc WERTH,Nord vaudois et Broye payernoise
1407,Bioley-Magnoux,Marc WERTH,Nord vaudois et Broye payernoise
1407,Donneloye,Marc WERTH,Nord vaudois et Broye payernoise
1410,Montanaire,Marc WERTH,Nord vaudois et Broye payernoise
1412,Ursins,Marc WERTH,Nord vaudois et Broye payernoise
1412,Valeyres-sous-Ursins,Marc WERTH,Nord vaudois et Broye payernoise
1413,Orzens,Marc WERTH,Nord vaudois et Broye payernoise
1415,Démoret,Marc WERTH,Nord vaudois et Broye payernoise
1415,Molondin,Marc WERTH,Nord vaudois et Broye payernoise
1417,Essertines-sur-Yverdon,Marc WERTH,Nord vaudois et Broye payernoise
1420,Fiez,Marc WERTH,Nord vaudois et Broye payernoise
1421,Fontaines-sur-Grandson,Marc WERTH,Nord vaudois et Broye payernoise
1421,Grandevent,Marc WERTH,Nord vaudois et Broye payernoise
1422,Grandson,Marc WERTH,Nord vaudois et Broye payernoise
1423,Tévenon,Marc WERTH,Nord vaudois et Broye payernoise
1424,Champagne,Marc WERTH,Nord vaudois et Broye payernoise
1425,Onnens,Marc WERTH,Nord vaudois et Broye payernoise
1027,Lonay,Michel PASCHE,Morges et Vallée de Joux
1426,Concise,Marc WERTH,Nord vaudois et Broye payernoise
1426,Corcelles-près-Concise,Marc WERTH,Nord vaudois et Broye payernoise
1427,Bonvillars,Marc WERTH,Nord vaudois et Broye payernoise
1428,Mutrux,Marc WERTH,Nord vaudois et Broye payernoise
1428,Provence,Marc WERTH,Nord vaudois et Broye payernoise
1429,Giez,Marc WERTH,Nord vaudois et Broye payernoise
1430,Orges,Marc WERTH,Nord vaudois et Broye payernoise
1431,Novalles,Marc WERTH,Nord vaudois et Broye payernoise
1431,Vugelles-La Mothe,Marc WERTH,Nord vaudois et Broye payernoise
1432,Belmont-sur-Yverdon,Marc WERTH,Nord vaudois et Broye payernoise
1433,Suchy,Marc WERTH,Nord vaudois et Broye payernoise
1434,Ependes,Marc WERTH,Nord vaudois et Broye payernoise
1435,Essert-Pittet,Marc WERTH,Nord vaudois et Broye payernoise
1436,Chamblon,Marc WERTH,Nord vaudois et Broye payernoise
1436,Treycovagnes,Marc WERTH,Nord vaudois et Broye payernoise
1437,Suscévaz,Marc WERTH,Nord vaudois et Broye payernoise
1438,Mathod,Marc WERTH,Nord vaudois et Broye payernoise
1439,Rances,Marc WERTH,Nord vaudois et Broye payernoise
1028,Préverenges,Michel PASCHE,Morges et Vallée de Joux
1441,Valeyres-sous-Montagny,Marc WERTH,Nord vaudois et Broye payernoise
1442,Montagny-près-Yverdon,Marc WERTH,Nord vaudois et Broye payernoise
1443,Champvent,Marc WERTH,Nord vaudois et Broye payernoise
1445,Vuiteboeuf,Marc WERTH,Nord vaudois et Broye payernoise
1446,Baulmes,Marc WERTH,Nord vaudois et Broye payernoise
1450,Sainte-Croix,Marc WERTH,Nord vaudois et Broye payernoise
1453,Bullet,Marc WERTH,Nord vaudois et Broye payernoise
1453,Mauborget,Marc WERTH,Nord vaudois et Broye payernoise
1462,Yvonand,Marc WERTH,Nord vaudois et Broye payernoise
1463,Rovray,Marc WERTH,Nord vaudois et Broye payernoise
1464,Chavannes-le-Chêne,Marc WERTH,Nord vaudois et Broye payernoise
1464,Chêne-Pâquier,Marc WERTH,Nord vaudois et Broye payernoise
1515,Villars-le-Comte,Marc WERTH,Nord vaudois et Broye payernoise
1110,Morges,Michel PASCHE,Morges et Vallée de Joux
1521,Curtilles,Marc WERTH,Nord vaudois et Broye payernoise
1522,Lucens,Marc WERTH,Nord vaudois et Broye payernoise
1523,Valbroye,Marc WERTH,Nord vaudois et Broye payernoise
1525,Henniez,Marc WERTH,Nord vaudois et Broye payernoise
1526,Cremin,Marc WERTH,Nord vaudois et Broye payernoise
1526,Forel-sur-Lucens,Marc WERTH,Nord vaudois et Broye payernoise
1530,Payerne,Marc WERTH,Nord vaudois et Broye payernoise
1537,Champtauroz,Marc WERTH,Nord vaudois et Broye payernoise
1538,Treytorrens,Marc WERTH,Nord vaudois et Broye payernoise
1543,Grandcour,Marc WERTH,Nord vaudois et Broye payernoise
1545,Chevroux,Marc WERTH,Nord vaudois et Broye payernoise
1552,Trey,Marc WERTH,Nord vaudois et Broye payernoise
1555,Villarzel,Marc WERTH,Nord vaudois et Broye payernoise
1562,Corcelles-près-Payerne,Marc WERTH,Nord vaudois et Broye payernoise
1565,Missy,Marc WERTH,Nord vaudois et Broye payernoise
1580,Avenches,Marc WERTH,Nord vaudois et Broye payernoise
1585,Vully-les-Lacs,Marc WERTH,Nord vaudois et Broye payernoise
1588,Cudrefin,Marc WERTH,Nord vaudois et Broye payernoise
1595,Faoug,Marc WERTH,Nord vaudois et Broye payernoise
1682,Dompierre,Marc WERTH,Nord vaudois et Broye payernoise
1682,Lovatens,Marc WERTH,Nord vaudois et Broye payernoise
1682,Prévonloup,Marc WERTH,Nord vaudois et Broye payernoise
1307,Lussery-Villars,Pierre-Alain PELLEGRI,Centre
1375,Penthéréaz,Pierre-Alain PELLEGRI,Centre
